nome,estrelas,data_criacao,idade_anos,idade_dias,idade_total_dias,prs_merged,total_releases,dias_ultimo_push,linguagem_primaria,issues_total,issues_fechadas,razao_issues_fechadas
supabase/supabase,108140,2019-10-12T05:56:49Z,6,312,2502,18676,30,0,TypeScript,5842,5566,95.28
Graphify-Labs/graphify,107911,2026-04-03T15:49:07Z,0,137,137,135,192,1,Python,1383,904,65.37
openai/whisper,107559,2022-09-16T20:02:54Z,3,337,1432,122,13,21,Python,0,0,0.00
openai/codex,106671,2025-04-13T05:37:54Z,1,127,492,9601,995,0,Rust,23296,10474,44.96
google-gemini/gemini-cli,106562,2025-04-17T17:04:31Z,1,123,488,6657,588,0,TypeScript,14225,13668,96.08
goldbergyoni/nodebestpractices,105585,2017-09-15T08:33:19Z,8,339,3259,766,0,64,Dockerfile,342,288,84.21
DietrichGebert/ponytail,105372,2026-06-12T00:52:37Z,0,67,67,174,15,11,JavaScript,269,211,78.44
microsoft/terminal,104625,2017-08-11T18:38:22Z,9,9,3294,4521,156,0,C++,14058,12410,88.28
deepseek-ai/DeepSeek-V3,104327,2024-12-26T09:52:40Z,1,235,600,25,1,355,Python,1084,940,86.72
react/create-react-app,103291,2016-07-17T14:55:11Z,10,34,3684,1949,83,549,JavaScript,8433,6576,77.98
rasbt/LLMs-from-scratch,102941,2023-07-23T18:15:57Z,3,27,1122,507,0,8,Jupyter Notebook,240,238,99.17
pytorch/pytorch,102468,2016-08-13T05:26:41Z,10,7,3657,6595,68,0,Python,60415,46529,77.02
Anduin2017/HowToCook,101879,2020-02-29T10:43:49Z,6,172,2362,645,5,1,N/A,855,392,45.85
neovim/neovim,101855,2014-01-31T13:39:22Z,12,202,4582,19655,54,0,Vim Script,14490,12902,89.04
fastapi/fastapi,101680,2018-12-08T08:21:47Z,7,255,2810,3557,300,0,Python,3544,3543,99.97
angular/angular,101006,2014-09-18T16:12:01Z,11,337,4352,7359,689,0,TypeScript,30893,29903,96.80
ruanyf/weekly,100707,2018-10-13T12:36:07Z,7,311,2866,120,0,4,N/A,10430,1686,16.16
mtdvio/every-programmer-should-know,100260,2017-08-24T13:18:26Z,8,361,3281,109,0,232,N/A,47,31,65.96
ant-design/ant-design,99116,2015-04-24T15:37:24Z,11,119,4134,18233,759,0,TypeScript,32766,31752,96.91
JuliusBrussee/caveman,98983,2026-04-04T10:03:00Z,0,136,136,59,22,0,Go,346,120,34.68
mui/material-ui,98855,2014-08-18T19:11:54Z,12,3,4383,22174,572,0,JavaScript,20513,19135,93.28
TauricResearch/TradingAgents,98822,2024-12-28T03:31:08Z,1,233,598,27,8,31,Python,455,272,59.78
nvbn/thefuck,97718,2015-04-08T15:08:04Z,11,135,4150,482,17,760,Python,790,483,61.14
tailwindlabs/tailwindcss,97277,2017-10-06T14:59:14Z,8,318,3238,3476,307,4,TypeScript,4903,4878,99.49
florinpop17/app-ideas,96896,2019-02-25T18:36:56Z,7,176,2731,151,0,311,N/A,201,53,26.37
microsoft/Web-Dev-For-Beginners,96373,2020-11-10T02:44:00Z,5,282,2107,689,0,13,JavaScript,459,392,85.40
hacksider/Deep-Live-Cam,95997,2023-09-24T13:19:31Z,2,329,1059,122,13,5,Python,1178,1156,98.13
puppeteer/puppeteer,95463,2017-05-09T22:16:13Z,9,103,3388,6211,701,0,TypeScript,7401,7154,96.66
oven-sh/bun,95450,2021-04-14T00:48:17Z,5,127,1952,9756,214,0,Rust,17532,14316,81.66
ryanmcdermott/clean-code-javascript,94758,2016-11-25T22:25:41Z,9,268,3553,149,0,750,JavaScript,247,166,67.21
microsoft/playwright,94700,2019-11-15T18:32:42Z,6,278,2468,17714,165,0,TypeScript,17814,17671,99.20
nvm-sh/nvm,94636,2010-04-15T17:47:47Z,16,129,5969,761,74,0,Shell,2448,2111,86.23
iluwatar/java-design-patterns,94581,2014-08-09T16:45:18Z,12,12,4392,1578,0,1,Java,986,865,87.73
karpathy/autoresearch,94089,2026-03-06T22:00:43Z,0,165,165,7,0,145,Python,113,59,52.21
earendil-works/pi,93103,2025-08-09T14:03:50Z,1,9,374,904,255,0,TypeScript,5171,5081,98.26
punkpeye/awesome-mcp-servers,92533,2024-11-30T04:49:10Z,1,261,626,3391,0,1,N/A,554,551,99.46
deepseek-ai/DeepSeek-R1,92031,2025-01-20T11:57:28Z,1,210,575,10,1,417,N/A,729,716,98.22
3b1b/manim,91618,2015-03-22T18:50:58Z,11,152,4167,702,13,0,Python,1237,775,62.65
thedotmack/claude-mem,91152,2025-08-31T20:50:03Z,0,352,352,509,307,0,JavaScript,1927,1910,99.12
storybookjs/storybook,90872,2016-03-18T04:23:44Z,10,155,3805,13127,1000,0,TypeScript,14532,12960,89.18
ruvnet/RuView,90785,2025-06-07T04:32:30Z,1,72,437,401,283,0,Rust,467,432,92.51
opencv/opencv,90489,2012-07-19T09:40:17Z,14,33,5143,14055,69,0,C++,11636,9096,78.17
louislam/uptime-kuma,90317,2021-07-03T01:02:42Z,5,47,1872,1816,131,0,JavaScript,4931,4224,85.66
PanJiaChen/vue-element-admin,90204,2017-04-17T03:35:49Z,9,125,3410,311,49,663,Vue,3613,2357,65.24
home-assistant/core,89958,2013-09-17T07:29:48Z,12,338,4718,90097,1000,0,Python,73297,70396,96.04
bitcoin/bitcoin,89938,2010-12-19T15:16:43Z,15,246,5721,16820,68,0,C++,9171,8840,96.39
mermaid-js/mermaid,89832,2014-11-01T23:52:32Z,11,292,4307,2815,201,0,TypeScript,3780,2341,61.93
Stirling-Tools/Stirling-PDF,89806,2023-01-27T18:22:42Z,3,204,1299,4108,186,0,Java,1859,1494,80.37
sherlock-project/sherlock,89761,2018-12-24T14:30:48Z,7,239,2794,744,2,0,Python,1176,1078,91.67
modelcontextprotocol/servers,89666,2024-11-19T01:10:17Z,1,272,637,1228,27,0,TypeScript,1178,934,79.29
microsoft/ML-For-Beginners,89492,2021-03-03T01:34:05Z,5,169,1994,496,0,6,Jupyter Notebook,165,163,98.79
gohugoio/hugo,89444,2013-07-04T15:26:26Z,13,48,4793,3481,381,0,Go,8208,7992,97.37
vllm-project/vllm,89375,2023-02-09T11:23:20Z,3,191,1286,20057,103,0,Python,17390,15238,87.63
gin-gonic/gin,89079,2014-06-16T23:57:25Z,12,65,4445,1248,29,3,Go,2401,1797,74.84
nexu-io/open-design,88869,2026-04-28T04:25:20Z,0,112,112,2865,27,0,TypeScript,1808,1360,75.22
astral-sh/uv,88856,2023-10-02T20:24:11Z,2,321,1051,10128,303,0,Rust,9228,6868,74.43
zed-industries/zed,88841,2021-02-20T03:01:06Z,5,180,2005,26419,1000,0,Rust,22516,20002,88.83
infiniflow/ragflow,88767,2023-12-12T06:13:13Z,2,250,980,8457,52,0,Go,7632,6326,82.89
localsend/localsend,88659,2022-12-16T00:46:07Z,3,246,1341,732,26,0,Dart,1779,798,44.86
ChatGPTNextWeb/NextChat,88620,2023-03-10T18:27:54Z,3,162,1257,912,77,7,TypeScript,3613,2906,80.43
MunGell/awesome-for-beginners,88499,2015-10-24T19:53:36Z,10,301,3951,484,0,24,N/A,214,194,90.65
django/django,88476,2012-04-28T02:47:18Z,14,115,5225,10689,0,0,Python,0,0,0.00
addyosmani/agent-skills,88363,2026-02-15T20:20:26Z,0,184,184,133,9,4,JavaScript,134,75,55.97
sveltejs/svelte,87976,2016-11-20T18:13:05Z,9,273,3558,6784,635,0,JavaScript,9170,8207,89.50
PaddlePaddle/PaddleOCR,87879,2020-05-08T10:38:16Z,6,103,2293,3199,33,27,Python,10718,10558,98.51
syncthing/syncthing,87760,2013-11-26T09:48:21Z,12,268,4648,2929,478,0,Go,5960,5602,93.99
ByteByteGoHq/system-design-101,87301,2023-09-18T20:52:03Z,2,335,1065,23,0,501,N/A,64,20,31.25
odysseus-dev/odysseus,85654,2026-05-31T14:05:51Z,0,79,79,1430,0,0,Python,2075,1105,53.25
laravel/laravel,84820,2011-06-08T03:06:08Z,15,75,5550,1710,227,0,Blade,0,0,0.00
OpenCut-app/OpenCut,84717,2025-06-22T08:02:17Z,1,57,422,192,3,8,TypeScript,365,98,26.85
macrozheng/mall,84576,2018-04-04T01:11:44Z,8,138,3058,1,3,96,Java,506,494,97.63
OpenHands/OpenHands,84421,2024-03-13T03:33:31Z,2,158,888,7492,133,0,TypeScript,4519,4232,93.65
bregman-arie/devops-exercises,84144,2019-10-03T17:31:21Z,6,321,2511,309,0,234,Python,108,71,65.74
DopplerHQ/awesome-interview-questions,84106,2015-11-28T09:48:17Z,10,266,3916,175,0,750,N/A,61,34,55.74
realworld-apps/realworld,84103,2016-02-26T20:49:53Z,10,176,3826,435,0,5,TypeScript,549,523,95.26
Developer-Y/cs-video-courses,83105,2016-10-21T17:02:11Z,9,303,3588,283,0,42,N/A,0,0,0.00
koala73/worldmonitor,82959,2026-01-08T17:26:06Z,0,222,222,4614,43,0,TypeScript,1628,1384,85.01
animate-css/animate.css,82733,2011-10-12T10:07:38Z,14,314,5424,315,22,750,CSS,886,843,95.15
junegunn/fzf,82568,2013-10-23T16:04:23Z,12,302,4682,687,84,1,Go,3205,2939,91.70
fighting41love/funNLP,82526,2018-08-21T11:20:39Z,7,364,2919,14,0,830,Python,92,48,52.17
vitejs/vite,82395,2020-04-21T05:03:57Z,6,120,2310,6595,713,0,TypeScript,8793,8292,94.30
tonsky/FiraCode,81930,2014-11-11T19:32:38Z,11,283,4298,145,29,21,Clojure,1387,965,69.57
lobehub/lobehub,81809,2023-05-21T07:19:12Z,3,90,1185,7869,1000,0,TypeScript,6399,6102,95.36
mlabonne/llm-course,81781,2023-06-17T22:16:25Z,3,63,1158,2,0,194,N/A,99,33,33.33
jesseduffield/lazygit,81442,2018-05-19T00:53:06Z,8,93,3013,2046,186,0,Go,2698,1843,68.31
spring-projects/spring-boot,81315,2012-10-19T15:02:57Z,13,306,5051,200,352,1,Java,42943,42419,98.78
bytedance/deer-flow,80260,2025-05-07T02:50:19Z,1,103,468,1774,1,0,Python,1871,1310,70.02
netdata/netdata,80220,2013-06-17T18:39:10Z,13,65,4810,12915,138,0,Go,8306,8114,97.69
swisskyrepo/PayloadsAllTheThings,80149,2016-10-18T07:29:07Z,9,306,3591,560,5,9,Python,0,0,0.00
hoppscotch/hoppscotch,80054,2019-08-21T13:15:24Z,6,364,2554,2140,107,2,TypeScript,2504,1938,77.40
TapXWorld/ChinaTextbook,79987,2020-01-05T04:11:06Z,6,227,2417,1,0,304,Roff,188,80,42.55
anuraghazra/github-readme-stats,79830,2020-07-09T10:34:22Z,6,41,2231,1569,0,18,JavaScript,1395,1227,87.96
d2l-ai/d2l-zh,79790,2017-08-23T04:40:24Z,8,362,3282,1019,16,749,Python,0,0,0.00
Egonex-AI/Understand-Anything,79733,2026-03-15T02:30:51Z,0,156,156,123,8,7,TypeScript,242,135,55.79
doocs/advanced-java,79061,2018-10-06T11:38:30Z,7,318,2873,94,1,54,Java,149,149,100.00
Z4nzu/hackingtool,79028,2020-04-11T09:21:31Z,6,130,2320,59,0,16,Python,521,406,77.93
coder/code-server,78932,2019-02-27T16:50:41Z,7,174,2729,1750,253,0,TypeScript,3864,3717,96.20
ventoy/Ventoy,78806,2020-03-10T15:19:19Z,6,162,2352,302,115,12,C,2831,1935,68.35
paperclipai/paperclip,78799,2026-03-02T15:01:51Z,0,169,169,1752,20,0,TypeScript,2869,770,26.84
unclecode/crawl4ai,78617,2024-05-09T09:48:50Z,2,101,831,221,20,0,Python,1019,984,96.57
awesomedata/awesome-public-datasets,78142,2014-11-20T06:20:50Z,11,274,4289,188,1,14,N/A,131,49,37.40
opendatalab/MinerU,77922,2024-02-29T08:52:34Z,2,171,901,1539,186,1,Python,2338,2284,97.69
elastic/elasticsearch,77827,2010-02-08T13:20:56Z,16,195,6035,95483,260,0,Java,46976,42304,90.05
Leonxlnx/taste-skill,77734,2026-02-19T21:44:05Z,0,180,180,8,0,0,JavaScript,41,12,29.27
tensorflow/models,77651,2016-02-05T01:15:20Z,10,197,3847,2345,51,0,Python,7322,6246,85.30
dair-ai/Prompt-Engineering-Guide,77557,2022-12-16T16:04:50Z,3,246,1341,342,0,160,MDX,255,74,29.02
nomic-ai/gpt4all,77403,2023-03-27T18:49:32Z,3,145,1240,938,38,448,C++,2224,1494,67.18
FortAwesome/Font-Awesome,76842,2012-02-17T14:19:43Z,14,186,5296,222,65,34,JavaScript,19933,19643,98.55
MisterBooo/LeetCodeAnimation,76695,2018-12-06T08:01:22Z,7,257,2812,63,0,67,Java,61,43,70.49
rtk-ai/rtk,76535,2026-01-22T16:54:16Z,0,208,208,549,279,1,Rust,1426,448,31.42
nestjs/nest,76397,2017-02-04T20:12:52Z,9,197,3482,8695,158,1,TypeScript,5860,5854,99.90
grafana/grafana,76295,2013-12-11T15:59:56Z,12,253,4633,69393,640,0,TypeScript,44912,42167,93.89
sdmg15/Best-websites-a-programmer-should-visit,76273,2017-03-05T20:25:17Z,9,168,3453,430,0,336,N/A,185,105,56.76
redis/redis,76031,2009-03-21T22:32:25Z,17,154,6359,4759,150,0,C,7060,4799,67.97
tesseract-ocr/tesseract,75984,2014-08-12T18:04:59Z,12,9,4389,1467,36,1,C++,2765,2329,84.23
ocornut/imgui,75708,2014-07-21T14:29:47Z,12,31,4411,427,122,0,C++,6920,5874,84.88
AppFlowy-IO/AppFlowy,75692,2021-06-16T12:56:48Z,5,64,1889,3895,142,7,Dart,4211,3318,78.79
typicode/json-server,75689,2013-11-27T13:21:13Z,12,267,4647,171,49,148,JavaScript,1193,576,48.28
openai/openai-cookbook,75328,2022-03-11T02:08:53Z,4,161,1621,1081,0,0,Jupyter Notebook,821,742,90.38
obsproject/obs-studio,75158,2013-10-01T02:40:31Z,12,324,4704,5563,247,3,C,5187,4389,84.62
PKUFlyingPig/cs-self-learning,75024,2021-10-20T13:43:42Z,4,303,1763,319,5,5,HTML,238,108,45.38
caddyserver/caddy,75004,2015-01-13T19:45:03Z,11,220,4235,2392,136,2,Go,4600,4401,95.67
D4Vinci/Scrapling,74975,2024-10-13T20:29:53Z,1,309,674,103,52,0,Python,149,148,99.33
shareAI-lab/learn-claude-code,74584,2025-06-29T15:34:15Z,1,50,415,82,0,0,Python,199,164,82.41
python/cpython,74403,2017-02-10T19:23:51Z,9,191,3476,62643,0,0,Python,77721,70696,90.96
enaqx/awesome-react,74325,2014-08-06T05:31:44Z,12,15,4395,798,0,29,N/A,127,122,96.06
apache/superset,74298,2015-07-21T18:55:34Z,11,31,4046,19682,267,0,Python,12655,12449,98.37
hiyouga/LlamaFactory,74203,2023-05-28T10:09:12Z,3,83,1178,1019,36,0,Python,8029,7034,87.61
abi/screenshot-to-code,74186,2023-11-14T17:53:32Z,2,278,1008,83,0,4,Python,405,284,70.12
josephmisiti/awesome-machine-learning,74064,2014-07-15T19:11:19Z,12,37,4417,928,0,7,Python,118,117,99.15
Eugeny/tabby,73984,2016-12-23T09:06:10Z,9,240,3525,1580,209,0,TypeScript,6324,3622,57.27
unionlabs/union,73849,2023-05-16T22:33:39Z,3,95,1190,3128,113,24,Rust,1842,1714,93.05
twitter/the-algorithm,73817,2023-03-27T14:57:57Z,3,145,1240,2,0,344,Scala,1082,752,69.50
datawhalechina/hello-agents,73603,2025-09-07T09:50:24Z,0,345,345,171,3,0,Python,308,247,80.19
unslothai/unsloth,73570,2023-11-29T16:50:09Z,2,263,993,3485,54,0,Python,4165,3262,78.32
thedaviddias/Front-End-Checklist,73562,2017-10-16T10:12:36Z,8,308,3228,180,2,4,MDX,155,152,98.06
vuejs/awesome-vue,73541,2015-10-20T00:16:14Z,10,305,3955,3655,0,25,N/A,234,193,82.48
